Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
16-MAR-2023,37348.9,37685.15,36926.85,37579.15,676952796,9764.86
17-MAR-2023,37895.7,37987.1,37727.85,37787.35,420240262,9917.81
20-MAR-2023,37572.15,37680.25,37254.15,37512.45,269820045,7593.71
21-MAR-2023,37690.25,37796.65,37497.5,37728.7,203227699,6138.84
22-MAR-2023,37895.3,38061.35,37876.85,37973,226512681,6472.13
23-MAR-2023,37894.6,37989.7,37779.1,37818.55,205514107,7121.09
24-MAR-2023,37929,37951.25,37472.55,37528.55,260036569,8901.47
27-MAR-2023,37570.9,37696.95,37287.15,37334,262213044,7489.86
28-MAR-2023,37319.4,37328.6,36895.65,36982.3,247973158,6481.87
29-MAR-2023,36911.45,37383.05,36903.05,37279,321750905,9120.97
31-MAR-2023,37493,37848.35,37488.4,37797.75,314148100,8503.56
03-APR-2023,37987.45,37987.75,37687.2,37891.35,187836802,5706.93
05-APR-2023,37905.3,38125.95,37828.2,38094.3,208157722,6472.57
06-APR-2023,38119.4,38231.55,38008.4,38187.05,190574125,7499.09
10-APR-2023,38293.7,38375.95,38159.1,38296.75,188071018,5293.61
11-APR-2023,38467.55,38580.05,38245.6,38379.65,168887913,5145.61
12-APR-2023,38482.35,38588.45,38403.1,38560.9,171466130,6502.67
13-APR-2023,38592,38623.3,38411.55,38496.75,155420266,5804.43
17-APR-2023,38498.35,38690,38300.95,38663.5,155002133,6088.74
18-APR-2023,38745.9,38885.65,38620.7,38806.15,159218742,5863.73
19-APR-2023,38834.5,38841.3,38415.9,38459.95,182378863,5441.31
20-APR-2023,38513.5,38581.85,38414.45,38475.65,139263111,4447.93
21-APR-2023,38524,38548.55,38303.25,38426.05,223218141,4955.69
24-APR-2023,38521.75,38592.5,38380.75,38572,156729395,4477.88
25-APR-2023,38613.4,38809.15,38570.85,38738.6,331099321,6363.61
26-APR-2023,38722.9,38913.2,38679.7,38888.4,177357306,5100.89
27-APR-2023,38917.5,39022.7,38841.7,38992,223812640,5211.36
28-APR-2023,39100.7,39558.8,39032.1,39514.2,422969330,9851.56
02-MAY-2023,39647.55,39828.85,39606.9,39774.5,268414760,7254.73
03-MAY-2023,39731.4,39931.8,39658.3,39845.15,225457410,7822.96
04-MAY-2023,39949.6,40119.95,39881.25,40096.15,281847874,7874.32
05-MAY-2023,40101.55,40303.2,40034.25,40091.25,241071818,6796.01
08-MAY-2023,40174.05,40391.95,40153.15,40365.1,258163799,6946.18
09-MAY-2023,40447,40613.6,40218.3,40323.3,285510474,7786.17
10-MAY-2023,40386.75,40580.05,40256,40551.5,199476883,6065.48
11-MAY-2023,40741.65,40900.8,40648.2,40867,191423529,6092.4
12-MAY-2023,40874,40976.15,40651,40801.1,198340424,6718.27
15-MAY-2023,40825.25,41145.95,40778.7,40995.05,195908578,6915.94
16-MAY-2023,41097.2,41256.8,41018.45,41052.05,276129007,7385.01
17-MAY-2023,41124.5,41137,40668.65,40821.4,203349635,6339.42
18-MAY-2023,40983.2,41044.2,40353.4,40415.35,217382757,5978.44
19-MAY-2023,40453.4,40630.5,40090.25,40546.15,237559580,7554.99
22-MAY-2023,40601.9,40938.2,40465.85,40923.45,309789416,8738.28
23-MAY-2023,41100,41194,40968.15,41010.35,231044397,7333.13
24-MAY-2023,41014.65,41122.55,40897.7,40984.05,213856668,8020.68
25-MAY-2023,41005.2,41275.2,40944.6,41213.3,307741106,7608.02
26-MAY-2023,41225.5,41710.85,41186.35,41684.7,255688893,9422.18
29-MAY-2023,41980.5,41996.95,41840.25,41925.3,206837889,8084.5
30-MAY-2023,41961.6,42031.25,41834.85,41946,190445651,7767.94
31-MAY-2023,41899.4,42129.35,41804.85,42049.3,612162161,23496.54
01-JUN-2023,42132.9,42320.9,42067.8,42154.7,200025788,7731.31
02-JUN-2023,42290.3,42372.9,42216.05,42331.4,329265701,7886.09
05-JUN-2023,42419,42546.55,42360.45,42401.35,238372719,7219.59
06-JUN-2023,42475.3,42642.85,42352.6,42597.1,197331786,7199.85
07-JUN-2023,42766.3,43027.65,42710.4,42998.5,209370943,7344.81
08-JUN-2023,43103.55,43119.5,42652.4,42713.45,244751336,6988.24
09-JUN-2023,42804.1,42862.7,42630.4,42672.65,205122192,7384.76
12-JUN-2023,42793.25,42946.35,42646.5,42870.55,243478723,7144.04
13-JUN-2023,43039.3,43304.5,42997.2,43278.65,222299534,7212.11
14-JUN-2023,43407.8,43424.85,43250.8,43379.25,227909559,6952.72
15-JUN-2023,43460,43641.2,43339.1,43393.85,222880020,6777.07
16-JUN-2023,43568.65,43932.35,43530,43836.75,234212444,9783.53
19-JUN-2023,43978.25,44054.1,43709.1,43764.7,211063179,6989.18
20-JUN-2023,43861.35,43978.25,43674.1,43926.3,182399064,7645.85
21-JUN-2023,44044.15,44175.55,43749.5,43905.65,213485798,7571.03
22-JUN-2023,43984.95,43985.1,43341.15,43387.15,206016346,6570.22
23-JUN-2023,43406.5,43414.8,42781.55,42833.15,205394832,8237.87
26-JUN-2023,42669.3,43070.75,42589.85,43006.6,161931996,7201.66
27-JUN-2023,43149.65,43254.5,43074.1,43192.6,188511923,7130.02
28-JUN-2023,43381.8,43524.05,43263.3,43465.45,301430796,13679.69
30-JUN-2023,43622.65,43782.9,43575.5,43750.3,269236219,12118.04
03-JUL-2023,43921.75,43966.1,43780.85,43924.85,224348469,6469.05
04-JUL-2023,44073.55,44081,43647.9,43758.2,159856006,5762.2
05-JUL-2023,43932.3,44156.8,43867.15,44108,217361534,6980.63
06-JUL-2023,44209.35,44396.75,44136.7,44372.1,236614675,6963.51
07-JUL-2023,44371.4,44510.1,43928,44002.5,225698802,7340.64
10-JUL-2023,44120,44132.95,43659.7,43759.95,169285257,5769.87
11-JUL-2023,43866.3,44210.1,43812.55,44090.8,220317182,7732.69
12-JUL-2023,44186.4,44231.05,43949.2,44202.85,203178526,9267.22
13-JUL-2023,44392.05,44473.2,43781.05,43917.1,362917147,8088.79
14-JUL-2023,44113.75,44286.65,43890.4,44243.05,242633216,6819.46
17-JUL-2023,44334.95,44437.9,44258.4,44370.15,186556172,6317.47
18-JUL-2023,44506.9,44507.1,44053.15,44180.6,203996225,6788.42
19-JUL-2023,44289.65,44444.9,44242.2,44414.4,173525278,5964.55
20-JUL-2023,44489.65,44506.15,44166.45,44350.8,170567846,7216.75
21-JUL-2023,44292.7,44401.15,44139.8,44184.75,229508082,7295.89
24-JUL-2023,44256.65,44345.2,44113.15,44176.8,233667063,7653.34
25-JUL-2023,44253.25,44432.25,44118,44407.55,243403178,8511.28
26-JUL-2023,44579.65,44622,44446.4,44568.25,223708450,7548.78
27-JUL-2023,44682.3,44824,44543.3,44696.45,236625356,8160.72
28-JUL-2023,44858.35,45187.95,44732.5,45166.4,325811485,9518.67
31-JUL-2023,45156,45368.45,45151.7,45287,268489132,8654.37
01-AUG-2023,45393.55,45408.55,45170.6,45263.25,216333604,7626.24
02-AUG-2023,45219.6,45242.35,44316.55,44645.8,269879075,9191.43
03-AUG-2023,44588.35,44621.1,44150.05,44414.55,506836209,14567.01
04-AUG-2023,44637.1,44913.9,44627.8,44765,585219790,11329.17
07-AUG-2023,44908,44930.95,44696.85,44838.45,426079983,9770.77
08-AUG-2023,44953.9,44989.65,44547.75,44838.8,335444851,8656.31
09-AUG-2023,44950.8,44983.05,44728.25,44948.15,245224312,7287.7
